Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
LH,Laboratory Corporation,Health Care,Health Care Services,"Burlington, North Carolina",2004-04-01,920148,1969
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2012-06-04,707549,1980
LW,Lamb Weston Holdings,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2016-11-21,1679273,1950
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2013-12-23,1300514,1988
LDOS,Leidos Holdings,Industrials,Research & Consulting Services,"Reston, Virginia",2009-10-05,1336920,1969
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",1995-06-30,60667,1954
LNC,Lincoln National,Financials,Life & Health Insurance,"Radnor, Pennsylvania",1976-06-30,59558,1905
LIN,Linde,Materials,Industrial Gases,"Guildford, United Kingdom",2018-10-31,1707092,1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2022-03-07,1335258,2005
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Nashville, Tennessee",2016-05-23,1080081,1998
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1983-07-29,936395,1912
L,Loews,Financials,Multi-line Insurance,"New York, New York",1995-06-30,60714,1969
LOW,Lowe's Companies,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-01-31,60667,1946
LYB,LyondellBasell,Materials,Specialty Chemicals,"Houston, Texas",2012-03-05,1489393,2007
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2003-09-02,36270,1856
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2002-12-20,101778,1887
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295,2009
MKTX,MarketAxess Holdings,Financials,Financial Exchanges & Data,"New York, New York",2019-06-24,1278021,2000
MAR,Marriott International,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Bethesda, Maryland",1994-04-01,1048268,1927
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",1990-06-29,62234,1871
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-09-08,916076,1939
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981-03-31,62996,1929
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Purchase, New York",2008-07-01,1141391,1966
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2018-09-24,1575189,2009
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",1982-07-30,63754,1889
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1985-04-30,63908,1940
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",1999-06-30,927653,1833
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",2000-04-03,1613103,1949
MRK,Merck,Health Care,Pharmaceuticals,"Rahway, New Jersey",1957-03-04,310158,1891
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004
MET,MetLife,Financials,Life & Health Insurance,"New York, New York",2000-05-03,1099219,1868
MTD,Mettler-Toledo International,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-07-11,1037038,1945
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2017-07-26,789570,1986
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2016-02-01,827054,1989
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-01,723125,1978
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,"Memphis, Tennessee",2016-03-04,912463,1977
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,1682852,2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968,1878
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022-03-07,928415,1980
TAP,Molson Coors Beverage,Consumer Staples,Brewers,"Chicago, Illinois",2008-02-12,24545,2005
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-01,1103982,2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"San Jose, California",2022-11-07,1280452,1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-07-02,865752,1935
MCO,Moody's,Financials,Financial Exchanges & Data,"New York, New York",2002-11-19,1059556,1900
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",1986-03-31,895421,1935
MOS,Mosaic,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-08-01,1285785,2004
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",2011-01-04,68505,1928
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York, New York",2018-10-31,1408198,1969
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,"New York, New York",2008-06-02,1120193,1971
NTAP,NetApp,Information Technology,Technology Hardware Storage & Peripherals,"Sunnyvale, California",1999-06-30,1002047,1992
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997
NEM,Newmont,Materials,Gold,"Denver, Colorado",1969-12-31,1164727,1921
NWSA,News Corporation A,Communication Services,Publishing & Broadcasting,"New York, New York",2013-06-19,1564708,2004
NWS,News Corporation B,Communication Services,Publishing & Broadcasting,"New York, New York",2013-06-19,1564708,2004
NEE,NextEra Energy,Utilities,Electric Utilities,"Juno Beach, Florida",1994-01-01,753308,1925
NKE,Nike,Consumer Discretionary,Footwear,"Beaverton, Oregon",1988-11-30,320187,1964
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000-11-20,1111711,1912
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,"New York, New York",2008-06-02,1120193,1971
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"Falls Church, Virginia",1994-04-04,1133421,1939
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Miami, Florida",2017-10-04,1513761,1966
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-11-09,1013871,1989
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309,1940
NVDA,NVIDIA,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993
NVR,NVR,Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-06-24,906163,1980
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-23,1411579,2006
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Retail,"Springfield, Missouri",2009-03-27,898173,1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1982-09-30,797468,1920
ODFL,Old Dominion Freight Line,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2018-06-04,878927,1934
OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",1998-01-02,29989,1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Scottsdale, Arizona",2022-11-07,861284,1999
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-11-01,74303,1906
ORCL,Oracle,Information Technology,Application Software,"Austin, Texas",1989-12-04,1341439,1977
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,1781335,1853
PCAR,PACCAR,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-06-30,75362,1905
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-05-31,75829,1959
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2022-04-04,1327567,2005
PARA,Paramount Global B,Communication Services,Movies & Entertainment,"New York, New York",1994-07-01,813828,1994
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1957-03-04,76334,1917
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",1998-10-01,723254,1971
PAYC,Paycom Software,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,1590955,1998
PYPL,PayPal Holdings,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917,1998
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Dublin, Ireland",2012-10-01,77360,1966
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957-03-04,77476,1893
PFE,Pfizer,Health Care,Pharmaceuticals,"New York, New York",1957-03-04,78003,1849
PCG,PG&E,Utilities,Multi-Utilities,"Oakland, California",1957-03-04,1004440,1905
PM,Philip Morris International,Consumer Staples,Tobacco,"Stamford, Connecticut",2008-03-31,1413159,2008
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534992,2012
PNW,Pinnacle West Capital,Utilities,Electric Utilities,"Phoenix, Arizona",1999-06-30,764038,1920
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1997-08-18,1038357,1997
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-09-01,713676,1845
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2022-03-07,945841,1995
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879,1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",2001-04-02,922224,1920
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328,1879
PG,Procter & Gamble,Consumer Staples,Household Products,"Cincinnati, Ohio",1957-03-04,80424,1837
PGR,Progressive,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-06-02,80661,1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609,1983
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774,1875
PEG,Public Service Enterprise Group,Utilities,Multi-Utilities,"Newark, New Jersey",1957-03-04,788784,1903
PUBLGY,Publicis Groupe,Communication Services,Advertising,"Paris, France",2015-06-22,723254,1926
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",2021-03-22,857005,1985
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",2005-08-19,1393311,1972
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1995-06-30,822818,1956
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-01-02,1383312,2015
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1999-07-22,804328,1985
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009-06-17,1050606,1997
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2003-10-01,920148,1967
RL,Ralph Lauren,Consumer Discretionary,Apparel Accessories & Luxury Goods,"New York, New York",2007-10-02,1037038,1967
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"Saint Petersburg, Florida",2017-02-22,720005,1962
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Wethersfield, Connecticut",1957-03-04,101829,1934
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-27,726728,1969
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-03,910606,1963
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589,1988
RF,Regions Financial,Financials,Regional Banks,"Birmingham, Alabama",1998-10-01,49196,1971
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Scottsdale, Arizona",2008-12-22,1060349,1998
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-03-20,1100397,1989
RVTY,Revvity,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2023-09-18,31791,1931
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",2011-12-19,1116132,1903
ROL,Rollins,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-09-24,85408,1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",2009-09-15,882184,1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-03-02,745732,1982
RCL,Royal Caribbean Group,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Miami, Florida",2014-04-14,884887,1968
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York, New York",1957-03-04,64040,1917
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",2017-09-11,1034054,1989
SLB,SLB,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1965-12-31,87347,1926
STX,Seagate Technology Holdings,Information Technology,Technology Hardware Storage & Peripherals,"Fremont, California",2012-07-02,1137789,1978
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,"Elmwood Park, New Jersey",1998-12-22,1012100,1960
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",2000-01-03,1032975,1998
SMCI,Super Micro Computer,Information Technology,Technology Hardware Storage & Peripherals,"San Jose, California",2024-03-18,723254,1993
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89089,1866
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",1998-12-22,1063761,1993
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-06-01,4127,1962
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1984-10-31,91440,1920
SOLV,Solventum,Health Care,Health Care Equipment,"Maplewood, Minnesota",2024-04-01,1990089,2024
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122,1945
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1994-07-01,92380,1967
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-10-29,93556,1843
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000-05-01,829224,1971
STT,State Street,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",1983-07-29,93751,1792
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2019-10-01,36270,1993
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019-03-29,803649,1985
SYK,Stryker,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-09-07,310764,1941
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712,2003
SNPS,Synopsys,Information Technology,Electronic Equipment & Instruments,"Mountain View, California",2021-03-22,883241,1986
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-09-30,86312,1969
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-29,1283699,1994
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1999-06-30,1113169,1937
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",2018-12-03,946581,1993
TPR,Tapestry,Consumer Discretionary,Apparel Accessories & Luxury Goods,"New York, New York",2012-10-01,1116132,1941
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022-11-01,1389170,2005
TGT,Target,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1957-03-04,27419,1902
TEL,TE Connectivity,Information Technology,Electronic Components,"Schaffhausen, Switzerland",2009-01-15,1385157,2007
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-09-21,96831,1960
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2016-12-01,96831,1943
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2019-06-24,97210,1960
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020-12-21,1318605,2003
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",1957-03-04,97476,1951
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-03-31,217346,1923
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-07-19,97745,2006
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-04-30,109198,1956
TSCO,Tractor Supply,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee",2014-01-02,916365,1938
TT,Trane Technologies,Industrials,Industrial Machinery & Supplies & Components,"Swords, Ireland",2020-03-02,1466258,1885
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-01-04,1260221,1993
TRV,Travelers Companies,Financials,Property & Casualty Insurance,"New York, New York",1996-12-02,86312,1853
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2020-10-26,724606,1978
TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",2019-12-09,92122,2019
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2022-11-07,860731,1938
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2021-09-20,100493,1935
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",1979-06-30,36104,1863
UDR,UDR,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-01-04,74260,1972
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Retail,"Bolingbrook, Illinois",2016-04-18,1403568,1990
UNP,Union Pacific,Industrials,Rail Transportation,"Omaha, Nebraska",1957-03-04,100885,1862
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",2015-09-18,319687,1926
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22,1090727,1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-15,1067294,1997
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,72971,1977
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",1986-09-30,352915,1979
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2013-12-23,1035002,1980
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-16,740260,1998
VRSN,VeriSign,Information Technology,Internet Services & Infrastructure,"Reston, Virginia",2006-02-01,1014473,1995
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145,1971
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30,732712,1983
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2013-09-20,875320,1989
VFC,VF Corporation,Consumer Discretionary,Apparel Accessories & Luxury Goods,"Denver, Colorado",1979-06-30,103379,1899
VTRS,Viatris,Health Care,Pharmaceuticals,"Canonsburg, Pennsylvania",2020-11-16,1792789,2020
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",2009-09-15,1396033,1909
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-26,723254,1869
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1679273,1901
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169,1962
WBD,Warner Bros. Discovery,Communication Services,Movies & Entertainment,"New York, New York",2022-04-11,1437107,2022
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1993-07-13,823768,1968
WAT,Waters,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",2000-01-03,1000697,1958
WEC,WEC Energy Group,Utilities,Multi-Utilities,"Milwaukee, Wisconsin",2008-09-09,783325,1896
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,1852
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-15,766704,1970
WST,West Pharmaceutical Services,Health Care,Health Care Equipment,"Exton, Pennsylvania",2020-12-21,105770,1923
WDC,Western Digital,Information Technology,Technology Hardware Storage & Peripherals,"San Jose, California",2009-04-01,106040,1970
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia",2015-07-06,1732845,2015
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",1973-09-28,106535,1900
WHR,Whirlpool,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",1983-07-29,106640,1911
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,107263,1908
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,1140536,2016
GWW,W.W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-12-31,277135,1927
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2008-11-17,1174922,2002
XEL,Xcel Energy,Utilities,Electric Utilities,"Minneapolis, Minnesota",2000-08-30,92521,2000
XYL,Xylem,Industrials,Industrial Machinery & Supplies & Components,"Rye Brook, New York",2011-10-31,1524472,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-07,1041514,1997
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,877212,1969
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",2016-01-01,1136893,2001
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013-02-01,1555280,2013
